date,cohort,action,symbol
2026-01-07,sp400,add,IRT
2026-01-07,sp400,add,ORA
2026-01-07,sp400,add,CAVA
2026-01-07,sp400,add,NVT
2026-01-07,sp400,add,HXL
2026-01-07,sp400,add,LSCC
2026-01-07,sp400,add,OVV
2026-01-07,sp400,add,HLNE
2026-01-07,sp400,add,CMC
2026-01-07,sp400,add,RPM
2026-01-07,sp400,add,FLO
2026-01-07,sp400,add,POR
2026-01-07,sp400,add,GTLS
2026-01-07,sp400,add,DY
2026-01-07,sp400,add,PEN
2026-01-07,sp400,add,FYBR
2026-01-07,sp400,add,HOMB
2026-01-07,sp400,add,FHI
2026-01-07,sp400,add,MORN
2026-01-07,sp400,add,CR
2026-01-07,sp400,add,NOVT
2026-01-07,sp400,add,SIGI
2026-01-07,sp400,add,ROIV
2026-01-07,sp400,add,VNT
2026-01-07,sp400,add,SAIC
2026-01-07,sp400,add,BRX
2026-01-07,sp400,add,CYTK
2026-01-07,sp400,add,ITT
2026-01-07,sp400,add,CIEN
2026-01-07,sp400,add,NEU
2026-01-07,sp400,add,UNM
2026-01-07,sp400,add,PAG
2026-01-07,sp400,add,AVNT
2026-01-07,sp400,add,ATI
2026-01-07,sp400,add,AXTA
2026-01-07,sp400,add,CCK
2026-01-07,sp400,add,XRAY
2026-01-07,sp400,add,FFIN
2026-01-07,sp400,add,SLGN
2026-01-07,sp400,add,WPC
2026-01-07,sp400,add,STRL
2026-01-07,sp400,add,MSM
2026-01-07,sp400,add,IPGP
2026-01-07,sp400,add,VNOM
2026-01-07,sp400,add,EVR
2026-01-07,sp400,add,BWA
2026-01-07,sp400,add,AR
2026-01-07,sp400,add,AA
2026-01-07,sp400,add,CUBE
2026-01-07,sp400,add,HGV
2026-01-07,sp400,add,OZK
2026-01-07,sp400,add,KTOS
2026-01-07,sp400,add,ENTG
2026-01-07,sp400,add,TWLO
2026-01-07,sp400,add,SR
2026-01-07,sp400,add,WTFC
2026-01-07,sp400,add,EXEL
2026-01-07,sp400,add,SYNA
2026-01-07,sp400,add,COLM
2026-01-07,sp400,add,GPK
2026-01-07,sp400,add,RGA
2026-01-07,sp400,add,COTY
2026-01-07,sp400,add,MUSA
2026-01-07,sp400,add,DT
2026-01-07,sp400,add,EWBC
2026-01-07,sp400,add,CBSH
2026-01-07,sp400,add,TMHC
2026-01-07,sp400,add,CACI
2026-01-07,sp400,add,R
2026-01-07,sp400,add,SHC
2026-01-07,sp400,add,THO
2026-01-07,sp400,add,BCO
2026-01-07,sp400,add,FBIN
2026-01-07,sp400,add,VFC
2026-01-07,sp400,add,KRC
2026-01-07,sp400,add,GLPI
2026-01-07,sp400,add,ELS
2026-01-07,sp400,add,WING
2026-01-07,sp400,add,COKE
2026-01-07,sp400,add,NYT
2026-01-07,sp400,add,THG
2026-01-07,sp400,add,BDC
2026-01-07,sp400,add,SON
2026-01-07,sp400,add,M
2026-01-07,sp400,add,LPX
2026-01-07,sp400,add,MUR
2026-01-07,sp400,add,SLAB
2026-01-07,sp400,add,SWX
2026-01-07,sp400,add,EQH
2026-01-07,sp400,add,CROX
2026-01-07,sp400,add,OC
2026-01-07,sp400,add,ONB
2026-01-07,sp400,add,PR
2026-01-07,sp400,add,KNSL
2026-01-07,sp400,add,JLL
2026-01-07,sp400,add,NXT
2026-01-07,sp400,add,MANH
2026-01-07,sp400,add,WH
2026-01-07,sp400,add,CBT
2026-01-07,sp400,add,SFM
2026-01-07,sp400,add,INGR
2026-01-07,sp400,add,OGE
2026-01-07,sp400,add,ELAN
2026-01-07,sp400,add,POST
2026-01-07,sp400,add,MASI
2026-01-07,sp400,add,TEX
2026-01-07,sp400,add,EXP
2026-01-07,sp400,add,APG
2026-01-07,sp400,add,CHRD
