symbol,name,weight
EXPO,Exponent Inc.,0.086926
POST,Post Holdings Inc.,0.086217
PK,Park Hotels & Resorts Inc.,0.081357
KD,Kyndryl Holdings Incorporation,0.079289
HOG,Harley-Davidson Inc.,0.078092
PEGA,Pegasystems Inc.,0.077888
MMS,MAXIMUS Inc.,0.07756
VC,Visteon Corporation,0.077147
RH,RH,0.075224
HGV,Hilton Grand Vacations Inc.,0.073654
SMG,Scotts Miracle-Gro Company Class A,0.072904
WHR,Whirlpool Corporation,0.071614
FOUR,Shift4 Payments Inc. Class A,0.071123
WLK,Westlake Corporation,0.070767
EEFT,Euronet Worldwide Inc.,0.06922
PSN,Parsons Corporation,0.068422
CXT,Crane NXT Co.,0.068269
MZTI,Marzetti Company,0.062883
CAR,Avis Budget Group Inc.,0.062415
XRAY,DENTSPLY SIRONA Inc.,0.062002
IPGP,IPG Photonics Corporation,0.058339
OLN,Olin Corporation,0.058094
GEF,Greif Inc Class A,0.057797
CHH,Choice Hotels International Inc.,0.056609
CPRI,Capri Holdings Limited,0.048814
SAM,Boston Beer Company Inc. Class A,0.037092
COLM,Columbia Sportswear Company,0.036855
PPC,Pilgrim's Pride Corporation,0.031908
